-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 01/01/2022 
Location: Latitude  -8.0538   Longitude -34.8876 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 67.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,HR,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA
2020,12,31,22,0.0,0.0,0.0
2020,12,31,23,0.0,0.0,0.0
2021,1,1,0,0.0,0.0,0.0
2021,1,1,1,0.0,0.0,0.0
2021,1,1,2,0.0,0.0,0.0
2021,1,1,3,0.0,0.0,0.0
2021,1,1,4,0.0,0.0,0.0
2021,1,1,5,0.0,0.0,0.0
2021,1,1,6,24.12,22.98,2.48
2021,1,1,7,130.08,129.98,14.19
2021,1,1,8,236.5,235.75,28.67
2021,1,1,9,324.7,325.92,41.33
2021,1,1,10,421.77,402.5,54.65
2021,1,1,11,467.02,465.92,63.69
2021,1,1,12,451.05,452.8,60.03
2021,1,1,13,457.88,457.27,62.34
2021,1,1,14,403.98,383.95,51.66
2021,1,1,15,321.75,289.73,38.13
2021,1,1,16,217.8,200.6,24.72
2021,1,1,17,101.33,93.88,10.72
2021,1,1,18,8.67,7.48,0.97
2021,1,1,19,0.0,0.0,0.0
2021,1,1,20,0.0,0.0,0.0
2021,1,1,21,0.0,0.0,0.0
2021,1,1,22,0.0,0.0,0.0
2021,1,1,23,0.0,0.0,0.0
2021,1,2,0,0.0,0.0,0.0
2021,1,2,1,0.0,0.0,0.0
2021,1,2,2,0.0,0.0,0.0
2021,1,2,3,0.0,0.0,0.0
2021,1,2,4,0.0,0.0,0.0
2021,1,2,5,0.0,0.0,0.0
2021,1,2,6,23.15,22.02,2.42
2021,1,2,7,132.35,119.88,13.58
2021,1,2,8,247.0,226.88,28.4
2021,1,2,9,346.23,329.95,43.48
2021,1,2,10,421.35,408.45,55.18
2021,1,2,11,466.67,420.17,58.67
2021,1,2,12,478.98,476.25,65.38
2021,1,2,13,457.65,454.4,61.98
2021,1,2,14,403.9,377.23,51.09
2021,1,2,15,321.75,288.77,38.07
2021,1,2,16,217.77,199.38,24.67
2021,1,2,17,101.48,93.75,10.32
2021,1,2,18,8.92,8.9,1.17
2021,1,2,19,0.0,0.0,0.0
2021,1,2,20,0.0,0.0,0.0
2021,1,2,21,0.0,0.0,0.0
2021,1,2,22,0.0,0.0,0.0
2021,1,2,23,0.0,0.0,0.0
2021,1,3,0,0.0,0.0,0.0
2021,1,3,1,0.0,0.0,0.0
2021,1,3,2,0.0,0.0,0.0
2021,1,3,3,0.0,0.0,0.0
2021,1,3,4,0.0,0.0,0.0
2021,1,3,5,0.0,0.0,0.0
2021,1,3,6,22.65,22.15,2.41
2021,1,3,7,130.92,123.25,13.68
2021,1,3,8,245.08,235.45,29.23
2021,1,3,9,344.0,335.55,43.87
2021,1,3,10,419.05,418.0,55.99
2021,1,3,11,464.4,456.88,62.38
2021,1,3,12,477.17,471.73,64.62
2021,1,3,13,455.83,438.12,60.19
2021,1,3,14,402.08,376.98,50.72
2021,1,3,15,319.88,283.5,37.38
2021,1,3,16,215.88,195.05,24.51
2021,1,3,17,99.75,89.15,10.5
2021,1,3,18,8.85,6.7,0.92
2021,1,3,19,0.0,0.0,0.0
2021,1,3,20,0.0,0.0,0.0
2021,1,3,21,0.0,0.0,0.0
2021,1,3,22,0.0,0.0,0.0
2021,1,3,23,0.0,0.0,0.0
2021,1,4,0,0.0,0.0,0.0
2021,1,4,1,0.0,0.0,0.0
2021,1,4,2,0.0,0.0,0.0
2021,1,4,3,0.0,0.0,0.0
2021,1,4,4,0.0,0.0,0.0
2021,1,4,5,0.0,0.0,0.0
2021,1,4,6,21.12,16.25,1.97
2021,1,4,7,127.2,107.98,12.47
2021,1,4,8,241.83,182.8,23.74
2021,1,4,9,341.65,281.23,37.76
2021,1,4,10,417.45,373.08,50.84
2021,1,4,11,463.42,408.95,57.02
2021,1,4,12,479.4,437.08,60.86
2021,1,4,13,458.55,430.83,59.45
2021,1,4,14,405.12,372.0,50.54
2021,1,4,15,322.83,287.27,38.12
